ano,mes,capacidade_kw,instalacoes,data,capacidade_gw_acumulada
2012,1,197.0,2,2012-01-01,0.000197
2012,2,403.0,1,2012-02-01,0.0006
2012,3,3.0,2,2012-03-01,0.000603
2012,6,3.0,1,2012-06-01,0.000606
2012,7,3.0,1,2012-07-01,0.000609
2012,8,2.0,1,2012-08-01,0.000611
2012,9,226.32999999999998,33,2012-09-01,0.00083733
2012,10,2.0,1,2012-10-01,0.0008393299999999999
2012,11,10.0,1,2012-11-01,0.0008493299999999999
2012,12,9.8,2,2012-12-01,0.0008591299999999998
2013,2,2.67,1,2013-02-01,0.0008617999999999998
2013,3,2.0,1,2013-03-01,0.0008637999999999999
2013,4,16.0,2,2013-04-01,0.0008797999999999998
2013,5,232.0,9,2013-05-01,0.0011117999999999998
2013,6,62.45,4,2013-06-01,0.0011742499999999997
2013,7,25.0,3,2013-07-01,0.0011992499999999998
2013,8,377.31,19,2013-08-01,0.0015765599999999996
2013,9,62.85,9,2013-09-01,0.0016394099999999996
2013,10,50.8,10,2013-10-01,0.0016902099999999995
2013,11,30.1,6,2013-11-01,0.0017203099999999994
2013,12,71.31,13,2013-12-01,0.0017916199999999994
2014,1,24.91,9,2014-01-01,0.0018165299999999996
2014,2,89.09,18,2014-02-01,0.0019056199999999994
2014,3,359.65999999999997,9,2014-03-01,0.0022652799999999993
2014,4,444.41,11,2014-04-01,0.002709689999999999
2014,5,111.97999999999999,21,2014-05-01,0.002821669999999999
2014,6,79.31,14,2014-06-01,0.002900979999999999
2014,7,577.13,32,2014-07-01,0.003478109999999999
2014,8,129.9,19,2014-08-01,0.003608009999999999
2014,9,257.83,39,2014-09-01,0.0038658399999999993
2014,10,103.28,31,2014-10-01,0.00396912
2014,11,160.04,36,2014-11-01,0.00412916
2014,12,243.60999999999999,35,2014-12-01,0.00437277
2015,1,428.59000000000003,56,2015-01-01,0.004801359999999999
2015,2,355.88,35,2015-02-01,0.00515724
2015,3,222.76,47,2015-03-01,0.00538
2015,4,2937.9900000000002,55,2015-04-01,0.008317989999999999
2015,5,464.96999999999997,85,2015-05-01,0.00878296
2015,6,396.55,51,2015-06-01,0.009179509999999998
2015,7,1167.49,107,2015-07-01,0.010346999999999999
2015,8,580.05,127,2015-08-01,0.010927049999999997
2015,9,968.41,125,2015-09-01,0.011895459999999997
2015,10,906.57,155,2015-10-01,0.012802029999999997
2015,11,2266.89,171,2015-11-01,0.015068919999999996
2015,12,1704.25,254,2015-12-01,0.016773169999999997
2016,1,1797.33,261,2016-01-01,0.0185705
2016,2,2859.49,340,2016-02-01,0.02142999
2016,3,2518.17,404,2016-03-01,0.023948159999999996
2016,4,2677.48,401,2016-04-01,0.026625639999999996
2016,5,3367.53,514,2016-05-01,0.029993169999999996
2016,6,4774.84,899,2016-06-01,0.034768009999999995
2016,7,3220.76,487,2016-07-01,0.03798877
2016,8,3514.99,569,2016-08-01,0.041503759999999994
2016,9,5040.67,538,2016-09-01,0.04654442999999999
2016,10,7618.7,492,2016-10-01,0.05416312999999999
2016,11,4631.77,531,2016-11-01,0.0587949
2016,12,5594.84,786,2016-12-01,0.06438973999999999
2017,1,4282.59,613,2017-01-01,0.06867232999999999
2017,2,4579.33,636,2017-02-01,0.07325165999999998
2017,3,5988.91,814,2017-03-01,0.07924057
2017,4,6392.17,669,2017-04-01,0.08563273999999998
2017,5,9181.37,886,2017-05-01,0.09481410999999998
2017,6,8425.01,1064,2017-06-01,0.10323911999999998
2017,7,8588.65,1109,2017-07-01,0.11182776999999998
2017,8,13570.46,1316,2017-08-01,0.12539822999999997
2017,9,13255.92,1157,2017-09-01,0.13865415
2017,10,12895.51,1298,2017-10-01,0.15154966
2017,11,15670.16,1763,2017-11-01,0.16721982000000002
2017,12,19768.18,1754,2017-12-01,0.186988
2018,1,17179.45,1912,2018-01-01,0.20416745
2018,2,25055.65,1663,2018-02-01,0.2292231
2018,3,22428.37,2122,2018-03-01,0.25165147
2018,4,20514.91,2008,2018-04-01,0.27216638
2018,5,26070.18,2373,2018-05-01,0.29823656
