mes,ano,volume_m3,mes_num,data
Janeiro,2015,12047932.427376809,1,2015-01-01
Fevereiro,2015,10490253.755014494,2,2015-02-01
Março,2015,12095848.153318837,3,2015-03-01
Abril,2015,11767280.134985514,4,2015-04-01
Maio,2015,11449770.75334783,5,2015-05-01
Junho,2015,11867076.431463761,6,2015-06-01
Julho,2015,12183784.337623198,7,2015-07-01
Agosto,2015,12046884.497014489,8,2015-08-01
Setembro,2015,11985710.196275366,9,2015-09-01
Outubro,2015,12526918.068550726,10,2015-10-01
Novembro,2015,11239850.46588405,11,2015-11-01
Dezembro,2015,12115216.72374574,12,2015-12-01
Janeiro,2016,10514005.25915942,1,2016-01-01
Fevereiro,2016,10792682.102840584,2,2016-02-01
Março,2016,11601156.13721739,3,2016-03-01
Abril,2016,11199688.801739128,4,2016-04-01
Maio,2016,11195715.027434781,5,2016-05-01
Junho,2016,11238238.734999992,6,2016-06-01
Julho,2016,11414542.267985508,7,2016-07-01
Agosto,2016,11851855.954724638,8,2016-08-01
Setembro,2016,11644012.577753624,9,2016-09-01
Outubro,2016,11425057.587811599,10,2016-10-01
Novembro,2016,10982918.913739128,11,2016-11-01
Dezembro,2016,11581780.440521738,12,2016-12-01
Janeiro,2017,10428954.824289856,1,2017-01-01
Fevereiro,2017,10121262.499869568,2,2017-02-01
Março,2017,11855811.8314058,3,2017-03-01
Abril,2017,10570124.140275352,4,2017-04-01
Maio,2017,11374611.326014496,5,2017-05-01
Junho,2017,11399227.66568116,6,2017-06-01
Julho,2017,11617860.727739131,7,2017-07-01
Agosto,2017,12116749.232434785,8,2017-08-01
Setembro,2017,11732360.419956515,9,2017-09-01
Outubro,2017,11939679.960942032,10,2017-10-01
Novembro,2017,11419038.820768116,11,2017-11-01
Dezembro,2017,11514810.522362314,12,2017-12-01
Janeiro,2018,10803224.849231886,1,2018-01-01
Fevereiro,2018,10220528.5524058,2,2018-02-01
Março,2018,11724196.385275358,3,2018-03-01
Abril,2018,11109741.011637688,4,2018-04-01
Maio,2018,9901089.462739129,5,2018-05-01
Junho,2018,11645941.207463764,6,2018-06-01
Julho,2018,11530453.564652182,7,2018-07-01
Agosto,2018,12373890.759898549,8,2018-08-01
Setembro,2018,11411734.907855062,9,2018-09-01
Outubro,2018,12073911.641855076,10,2018-10-01
Novembro,2018,11555684.22026087,11,2018-11-01
Dezembro,2018,11806230.417202905,12,2018-12-01
Janeiro,2019,11230348.563681165,1,2019-01-01
Fevereiro,2019,10802201.288463764,2,2019-02-01
Março,2019,11243412.48984058,3,2019-03-01
Abril,2019,11477198.63226086,4,2019-04-01
Maio,2019,11650929.51331884,5,2019-05-01
Junho,2019,11073032.319565218,6,2019-06-01
Julho,2019,12283103.154623184,7,2019-07-01
Agosto,2019,12326825.912608704,8,2019-08-01
Setembro,2019,11664512.6789855,9,2019-09-01
Outubro,2019,12695489.524362318,10,2019-10-01
Novembro,2019,11806476.574072462,11,2019-11-01
Dezembro,2019,11881684.374913042,12,2019-12-01
Janeiro,2020,11338541.339666668,1,2020-01-01
Fevereiro,2020,11090449.616347825,2,2020-02-01
Março,2020,10645631.356260873,3,2020-03-01
Abril,2020,8872680.195130436,4,2020-04-01
