data,frota_ev,solar_gw,combustivel_m3
2021-01-01,55631,5.316106179999999,11165007.252521733
2021-02-01,56988,5.58659164,10364822.302811593
2021-03-01,59782,5.986791739999999,11514773.310159417
2021-04-01,62343,6.29093056,10847510.842739137
2021-05-01,65414,6.64129574,11186428.197449269
2021-06-01,69748,6.97434852,11434566.942275364
2021-07-01,73268,7.34802439,12474834.446594208
2021-08-01,77629,7.759662119999999,12412823.482521746
2021-09-01,80852,8.14845883,12076925.443927536
2021-10-01,83992,8.55183701,12382201.099347828
2021-11-01,90956,9.03509647,11459182.02773913
2021-12-01,97920,9.607757350000002,12099261.331927534
2022-01-01,97920,10.04754292,10598039.72573912
2022-02-01,102516,10.56549295,10995574.007202895
2022-03-01,108560,11.18595056,12066965.262289854
2022-04-01,112552,11.74282568,11285116.091304343
2022-05-01,117731,12.3707053,11888612.15273913
2022-06-01,122448,13.02375029,11423437.97375363
2022-07-01,126944,13.728669989999998,12223528.920333331
2022-08-01,134070,14.4455325,12793831.255942022
2022-09-01,143362,15.176486199999998,12442337.289144926
2022-10-01,149273,15.84320293,12589638.440724626
2022-11-01,155847,16.617935029999998,12003658.382782616
2022-12-01,163181,17.595410209999997,12661098.750101447
2023-01-01,170053,18.63528049,11170623.2787971
2023-02-01,176572,19.5510735,11324712.434159422
2023-03-01,185745,20.52912626,12900962.172144927
2023-04-01,193593,21.250303700000003,11448372.756318845
2023-05-01,201900,22.10101129,12884513.09615942
2023-06-01,210280,22.64683342,12365953.142231878
2023-07-01,219457,23.10955703,12585770.94191304
2023-08-01,231893,23.62813167,13467864.943768118
2023-09-01,242171,24.12453999,12771227.291014498
2023-10-01,255017,24.70070856,12933935.123739133
2023-11-01,270204,25.27508758,12640513.626173915
2023-12-01,291089,25.96668688,13203983.090579702
2024-01-01,304546,26.7682849,12466529.885492751
2024-02-01,319224,27.47703685,11800924.729449276
2024-03-01,336542,28.25110829,12722084.17768116
2024-04-01,351879,29.059628510000003,12958459.48794203
2024-05-01,369301,29.84422999,13012271.523695648
2024-06-01,385218,30.66007501,12671840.91907247
2024-07-01,414736,31.55457383,13603328.525608696
2024-08-01,429538,32.454575930000004,13694605.525
2024-09-01,447401,33.225761920000004,13038999.465956518
2024-10-01,463514,34.11311533,14031384.904942028
2024-11-01,486479,34.96074439,13040833.38471014
2024-12-01,515044,35.968573670000005,13026878.49488406
2025-01-01,528831,36.91972193,12918096.96617391
2025-02-01,544483,37.79553187,12131876.033913054
2025-03-01,570452,38.67309902,12981519.474579709
2025-04-01,587937,39.49012449999999,12923458.813376809
2025-05-01,607561,40.25959281,13343959.5531884
2025-06-01,632857,40.90844315,12862215.397434782
2025-07-01,663245,41.6444213,14012012.296028985
2025-08-01,692847,42.29498749,13517594.895942029
2025-09-01,722193,42.89437217999999,13817122.31276812
2025-10-01,762172,43.56829788,14356532.339521738
2025-11-01,795146,44.1565438,12966668.933797106
2025-12-01,836151,44.81119507,13961276.231057972
