ds,yhat,yhat_lower,yhat_upper
2021-01-01,10919494.062352529,10667699.609905502,11167532.854675034
2021-02-01,10461299.48981899,10221450.883517692,10708733.370856812
2021-03-01,11455009.990591597,11218066.92242043,11707200.037829258
2021-04-01,11113861.226125484,10865961.732763834,11377811.390589919
2021-05-01,11497128.376249421,11260740.434646036,11750090.20626363
2021-06-01,11219400.864351591,10972861.140022898,11470482.267205914
2021-07-01,12145154.93825045,11886218.585643532,12372338.80530042
2021-08-01,12199206.06828695,11939007.465035705,12451163.502980828
2021-09-01,11885774.782676283,11625456.56286112,12139256.424210943
2021-10-01,12427197.289211895,12202792.439058002,12671380.922444206
2021-11-01,11482570.429903945,11230052.267467244,11747652.329848493
2021-12-01,12012176.049421366,11759692.970478792,12265026.39672947
2022-01-01,11187832.128589248,10936748.14404721,11451342.019818274
2022-02-01,10821782.33442325,10569756.409541393,11073548.045101214
2022-03-01,12056500.992729409,11804050.801678963,12308161.3006516
2022-04-01,11193649.94112664,10928214.49626108,11441599.977267418
2022-05-01,12043423.7053912,11805193.442544494,12292752.419710148
2022-06-01,11689572.893702244,11440075.996005584,11955736.775019243
2022-07-01,12371399.866582965,12121865.692103272,12624285.558884647
2022-08-01,12785516.724606361,12524610.769244092,13022612.861628296
2022-09-01,12396702.598548403,12133174.444001127,12641680.17112818
2022-10-01,12659384.257281462,12420369.024294695,12921431.882757315
2022-11-01,11984253.19312125,11740637.409162527,12233611.521285724
2022-12-01,12621682.86364325,12376320.071183573,12871878.43050316
2023-01-01,11546070.409474751,11299771.141674524,11814705.821161142
2023-02-01,11288837.931933284,11035488.674502729,11567718.000382962
2023-03-01,12767644.945871798,12522833.663685933,13028622.059978088
2023-04-01,11397822.740595832,11151172.009092694,11664759.226521946
2023-05-01,12714827.965805937,12455641.700393718,12970430.875596082
2023-06-01,12275224.239451762,12017882.852202754,12534545.712756168
2023-07-01,12713258.650409736,12448456.695041161,12971303.501172299
2023-08-01,13484564.923452482,13233518.324986456,13730546.45982714
2023-09-01,13002187.966857977,12745704.24140716,13246483.886082897
2023-10-01,12978447.567443809,12732021.743271185,13241629.781119939
2023-11-01,12565470.608709475,12320327.007928234,12810718.820224578
2023-12-01,13293023.509454958,13044047.138518197,13560186.75360407
2024-01-01,11954642.849247972,11679691.422517141,12189880.877873767
2024-02-01,11798898.820230987,11536567.94548282,12066175.849631816
2024-03-01,12669808.961879963,12431567.921207277,12915853.537615646
2024-04-01,12865617.00395719,12611514.802504515,13117307.406171992
2024-05-01,12790127.881916493,12531128.24303174,13051598.008719606
2024-06-01,12585721.983930195,12328019.583946934,12821268.957857234
2024-07-01,13762245.198634377,13501297.826808793,14002304.883540109
2024-08-01,13460804.962181343,13211628.326814616,13719926.954336049
2024-09-01,13223684.144511785,12975601.315978412,13480527.536498208
2024-10-01,14054439.421974652,13804886.553699037,14304724.61749228
2024-11-01,12852546.011664517,12581429.66542108,13101530.703728838
2024-12-01,13275448.562061049,13034825.338468233,13533173.360821493
2025-01-01,12709669.609023444,12466231.15620018,12954951.677328998
2025-02-01,12246757.883099897,11995026.53932766,12500822.531146605
2025-03-01,13236207.72919681,12984057.604561634,13489436.711742613
2025-04-01,12890341.81129927,12623678.727271155,13141173.210504256
2025-05-01,13269043.974235542,13021101.003332648,13519642.99413329
2025-06-01,12986599.30898507,12733230.551253915,13242532.559518768
2025-07-01,13907788.395767614,13658491.031098211,14168563.217594996
2025-08-01,13957122.372375503,13702756.663821327,14206709.772516249
2025-09-01,13638973.933337612,13384992.959295776,13903875.807222838
2025-10-01,14175831.452721074,13915273.51009663,14437888.069399731
2025-11-01,13226487.439936813,12973758.964062586,13498253.671585724
2025-12-01,13751528.072217017,13495895.732419996,13985495.365237776
2026-01-01,12922298.567782128,12641083.833361166,13176788.815853203
2026-02-01,12551363.190011647,12272023.960358605,12799108.17770652
2026-03-01,13781501.130743822,13531480.824668271,14018969.858668655
2026-04-01,12913578.570395516,12669413.253073316,13164153.111495635
2026-05-01,13751165.462647272,13500298.663280059,14017133.416204339
2026-06-01,13384721.549875457,13145669.743583638,13646905.40963508
2026-07-01,14054253.56826817,13805731.412720602,14299685.500519108
2026-08-01,14455665.639985293,14213966.818346398,14696221.92609675
2026-09-01,14050131.257902479,13793635.573498944,14301080.532707743
2026-10-01,14296632.023710867,14030399.210973093,14546091.615207631
