ds,yhat,yhat_lower,yhat_upper
2021-01-01,55938.982042870164,54475.72746977064,57490.06616063465
2021-02-01,55828.8299608364,54443.075925735575,57386.25982233657
2021-03-01,61222.71134785198,59659.04263983621,62718.02791752344
2021-04-01,62590.836128055074,61171.61637416542,64088.84838237279
2021-05-01,65954.28669219594,64533.35155813671,67551.68548078484
2021-06-01,66947.6563750372,65500.229966108855,68327.0672099381
2021-07-01,75387.3905016614,73982.63165111838,76786.95358073432
2021-08-01,76237.2421686033,74649.7710235601,77726.45821382207
2021-09-01,80652.00046921664,79147.84054134953,82196.07041995901
2021-10-01,84761.79378750629,83311.84243971865,86236.08461041322
2021-11-01,90176.84312029277,88545.11976401738,91703.96574811927
2021-12-01,99105.1950696721,97659.33391088831,100595.51478620096
2022-01-01,98788.42705714038,97274.93215587441,100363.9481573492
2022-02-01,101507.03921283985,100131.00351572814,102933.00551467847
2022-03-01,108734.16574932772,107283.62290363084,110197.06272091062
2022-04-01,112678.23755216962,111191.80199942,113998.87156913975
2022-05-01,116860.32796402667,115426.07664841934,118423.78948159062
2022-06-01,123042.51480540933,121611.89614814121,124424.95090844869
2022-07-01,126618.18131636358,125118.59031219273,128172.65557453685
2022-08-01,135332.00883576373,133817.70164731191,136923.4724706144
2022-09-01,141122.77536309048,139602.81513029808,142657.9307135138
2022-10-01,148893.11348969347,147417.1448127971,150352.64762514725
2022-11-01,156999.8032135068,155600.15564026625,158435.83265547242
2022-12-01,164101.903800446,162480.14316785152,165628.2572140705
2023-01-01,169962.3764767437,168381.91122529682,171499.69361856487
2023-02-01,176282.86933465983,174700.3030905227,177768.98828035902
2023-03-01,186041.94554136295,184526.895533569,187406.72708729096
2023-04-01,193348.97856277373,191944.9197237383,194814.03409549835
2023-05-01,201560.75136517914,200117.05001781383,202945.51493500592
2023-06-01,210506.12650991074,209025.2365103878,211922.61860444307
2023-07-01,218613.42782634284,217146.88482000612,220121.54024852777
2023-08-01,231478.07607759023,229944.3216498731,232987.36028639367
2023-09-01,242757.40528901416,241295.5004519257,244212.73415024616
2023-10-01,256111.9819657444,254633.1127810581,257736.1906048246
2023-11-01,269752.0469980064,268184.07798494655,271212.70667261817
2023-12-01,290918.57099367876,289485.17637188284,292430.79240422894
2024-01-01,304635.5375527391,303230.458762798,306099.4319027661
2024-02-01,320048.49708752375,318601.7191583152,321548.162142025
2024-03-01,336802.11589868483,335419.10964421445,338317.6756773413
2024-04-01,351464.43662471935,350005.3057824714,352842.58796080766
2024-05-01,367972.5117445674,366360.4760097653,369364.3654793822
2024-06-01,386684.9925395893,385193.95721571846,388188.70876299165
2024-07-01,413134.67433787347,411613.01663302415,414721.2335858625
2024-08-01,430149.3590816022,428680.9289301393,431746.63212850044
2024-09-01,446214.9588048139,444774.01556937513,447611.6613214724
2024-10-01,464903.5103379895,463410.2997266523,466443.60266458837
2024-11-01,486031.9618804742,484718.41821977415,487532.8060690678
2024-12-01,514704.3715737313,513276.35413117416,516230.106752075
2025-01-01,527655.5096140967,526132.4024676519,529153.2434967957
2025-02-01,546116.8047850817,544727.8036713112,547656.7571951303
2025-03-01,568284.8965941848,566778.5795424344,569689.5330176565
2025-04-01,588224.4686107956,586701.0606778667,589683.6029477684
2025-05-01,609560.2874682252,608217.3911186832,611107.8649819699
2025-06-01,633371.9646470363,631847.6818265122,634649.6152040854
2025-07-01,663893.9318342857,662424.9391876657,665359.4127853903
2025-08-01,692778.7662439718,691257.9292234846,694218.5941372445
2025-09-01,725228.5072873153,723743.8878897293,726793.6891710813
2025-10-01,759296.3903492568,757745.5424304866,760778.5516910529
2025-11-01,795668.1324199463,794217.1441168013,797125.1614408181
2025-12-01,834554.5741157003,833060.1755655367,836141.7371858247
2026-01-01,850615.5352788091,848247.9369487847,852897.2323127907
2026-02-01,869711.8766101411,863458.9468891396,875377.0515054421
2026-03-01,891731.7908740696,879333.2144647575,903455.2494081336
2026-04-01,912053.5919465945,892523.8253606644,929797.2342073518
2026-05-01,933317.2676281446,905449.6689572581,958215.4632555057
2026-06-01,957150.4259149074,920835.7716622076,989939.0816196323
2026-07-01,983629.89562998,936371.9877289416,1025855.9047456954
2026-08-01,1016010.9864603094,957604.982777194,1070700.239468149
2026-09-01,1049433.2949256727,978603.6502049885,1115787.5043356651
2026-10-01,1083943.83492777,999848.3443713259,1165766.5373649055
2026-11-01,1120113.5053500992,1021510.325175498,1215385.908278875
2026-12-01,1154373.3291936463,1043806.9013609785,1263096.5000738958
2027-01-01,1173623.3695320378,1046868.957044193,1296141.7019257462
2027-02-01,1193333.430045854,1052032.1219631098,1331664.2388211591
2027-03-01,1215186.309296616,1059982.9583567006,1369396.957056993
2027-04-01,1235882.9099715436,1064874.0196247974,1404567.5052700045
2027-05-01,1257052.328890255,1070235.1741852888,1444176.728082849
2027-06-01,1280870.4745716425,1077538.703322525,1483773.2910248097
2027-07-01,1303370.7796332336,1082360.6563402906,1518742.0864504147
2027-08-01,1339317.5800445206,1097794.990673986,1567968.5676656843
2027-09-01,1373679.061415961,1113943.0900755194,1623259.0025202371
2027-10-01,1408579.0900364446,1131425.6701987388,1674195.6494502327
2027-11-01,1444482.7887439132,1147921.0396723098,1728443.6536883514
2027-12-01,1474164.3572449565,1158196.54839651,1783803.5200312033
2028-01-01,1496680.203126274,1162299.652704333,1828518.168592714
2028-02-01,1516981.1169263897,1164408.7863597854,1865244.9648325539
2028-03-01,1538307.3381147995,1166425.021657157,1907534.438008313
2028-04-01,1557857.6131082813,1164580.3888350516,1949229.8285487285
2028-05-01,1579243.2937397535,1154803.562255581,1997576.6202069155
2028-06-01,1602995.966896775,1158482.9218575445,2044586.124039943
2028-07-01,1637619.9233700933,1173328.3981354963,2102136.3220813237
2028-08-01,1663081.358611372,1176831.1751449523,2146837.1454295325
2028-09-01,1694527.44435685,1185132.4225214384,2194766.919141668
2028-10-01,1728100.3372018635,1200159.533315064,2251770.6814490305
2028-11-01,1764608.9121806975,1205767.4590601865,2302528.704116819
2028-12-01,1808165.3122961812,1220883.2129265084,2376700.1159773986
2029-01-01,1821116.4503365518,1207436.8941624125,2415554.1758661703
2029-02-01,1839577.7455075413,1209872.6456092715,2460984.9897360294
2029-03-01,1861745.8373166365,1206249.2626357116,2505594.8837057273
2029-04-01,1881685.4093332367,1199548.8952708556,2548726.4132585116
2029-05-01,1903021.228190684,1197185.3855027119,2595864.5466281855
2029-06-01,1926832.9053694834,1197382.0192179033,2646986.9549328815
2029-07-01,1957354.872556758,1202070.8104145187,2694975.5676396913
2029-08-01,1986239.706966425,1212160.7905754042,2744086.783124115
2029-09-01,2018689.4480097531,1207138.1840883296,2800596.2640010696
2029-10-01,2052757.3310717146,1212784.4305777207,2847345.3785804105
2029-11-01,2089129.073142405,1222176.478572198,2927169.8380902153
2029-12-01,2128015.5148381907,1234039.6525825998,2989655.256387287
2030-01-01,2144076.4760012566,1223860.3900042162,3037206.177238873
2030-02-01,2163172.8173326217,1205082.123011943,3093732.590232051
2030-03-01,2185192.7315965313,1199304.9516851404,3151570.441286658
2030-04-01,2205514.532669066,1182337.8323059364,3203386.4475971977
2030-05-01,2226778.208350599,1172084.4319272924,3255429.602209285
2030-06-01,2250611.366637354,1147728.5753347245,3315046.523870064
2030-07-01,2277090.836352413,1133630.2609344628,3365235.481410918
2030-08-01,2309471.9271827503,1141777.0103431179,3438651.6528843953
2030-09-01,2342894.235648115,1143552.6147728206,3486246.9106788463
2030-10-01,2377404.7756502302,1129385.179883689,3550422.1034079683
2030-11-01,2413574.4460725556,1133232.3243192227,3635459.218201689
2030-12-01,2447834.269916108,1143544.7105046082,3706405.2752878666
